ip_address,total_requests,failed_requests,successful_requests,failure_ratio,unique_usernames,username_diversity,unique_endpoints,endpoint_concentration,unique_user_agents,user_agent_concentration,primary_user_agent,primary_endpoint,country,active_duration_seconds,requests_per_minute,timing_regularity,target_usernames,feat_failure_ratio,feat_username_diversity,feat_endpoint_concentration,feat_ua_concentration,feat_timing_regularity,feat_request_frequency
103.104.161.119,14,13,1,0.9286,14,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,CN,3749.0,0.2241,0.7093,grace.target287@mailservice.net|felix.target238@mailservice.net|ursula.target0@example.com|julia.target325@techhub.io|alice.target211@corp.local|tarun.target242@corp.local|ursula.target169@techhub.io|felix.target392@example.com|thomas.target353@techhub.io|zach.target39@cloudsec.org|karen.target294@example.com|marcus.target14@example.com|noah.target280@corp.local|elena.target203@cloudsec.org,0.9286,1.0,1.0,1.0,0.7093,0.0492
103.104.231.141,7,7,0,1.0,7,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,VN,1758.0,0.2389,0.6756,alex.target81@mailservice.net|james.target59@cloudsec.org|sophia.target190@techhub.io|noah.target179@cloudsec.org|oscar.target236@cloudsec.org|marcus.target80@cloudsec.org|wendy.target187@corp.local,1.0,1.0,1.0,1.0,0.6756,0.0521
103.104.29.149,6,6,0,1.0,6,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,NG,1972.0,0.1826,0.6802,henry.target85@cloudsec.org|quinn.target50@corp.local|nina.target260@mailservice.net|charlie.target31@corp.local|paula.target396@corp.local|mia.target362@mailservice.net,1.0,1.0,1.0,1.0,0.6802,0.0408
103.105.48.219,13,13,0,1.0,13,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,RU,3934.0,0.1983,0.6706,karen.target113@techhub.io|grace.target213@mailservice.net|henry.target85@cloudsec.org|olivia.target185@corp.local|oscar.target381@techhub.io|julia.target101@cloudsec.org|liam.target234@techhub.io|elena.target27@corp.local|charlie.target204@cloudsec.org|alice.target211@corp.local|paula.target396@corp.local|zach.target326@corp.local|george.target152@example.com,1.0,1.0,1.0,1.0,0.6706,0.044
103.106.197.141,6,6,0,1.0,6,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,ID,1438.0,0.2503,0.6916,liam.target255@mailservice.net|zach.target39@cloudsec.org|felix.target258@techhub.io|liam.target151@techhub.io|frank.target120@cloudsec.org|olivia.target119@mailservice.net,1.0,1.0,1.0,1.0,0.6916,0.0543
103.107.100.86,9,8,1,0.8889,9,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,RU,2611.0,0.2068,0.729,zach.target122@cloudsec.org|ursula.target382@example.com|emma.target176@cloudsec.org|james.target47@cloudsec.org|oscar.target303@cloudsec.org|yasmin.target6@techhub.io|henry.target189@example.com|kevin.target264@techhub.io|thomas.target103@cloudsec.org,0.8889,1.0,1.0,1.0,0.729,0.0457
103.107.12.197,8,8,0,1.0,8,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,IN,2206.0,0.2176,0.7024,isabella.target347@techhub.io|brian.target117@example.com|alex.target46@cloudsec.org|yasmin.target55@corp.local|wendy.target315@mailservice.net|paula.target29@techhub.io|alice.target313@cloudsec.org|deepak.target314@corp.local,1.0,1.0,1.0,1.0,0.7024,0.0479
103.107.134.246,10,10,0,1.0,10,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,US,2662.0,0.2254,0.6245,alice.target68@techhub.io|quinn.target184@corp.local|julia.target216@mailservice.net|victor.target394@example.com|sophia.target371@mailservice.net|kevin.target94@mailservice.net|liam.target234@techhub.io|aravind.target41@mailservice.net|rachel.target271@techhub.io|ian.target63@cloudsec.org,1.0,1.0,1.0,1.0,0.6245,0.0494
103.107.14.79,9,9,0,1.0,9,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,NG,2739.0,0.1972,0.7415,xander.target223@techhub.io|ian.target171@example.com|frank.target289@techhub.io|thomas.target306@mailservice.net|marcus.target270@techhub.io|george.target131@cloudsec.org|claire.target127@example.com|sam.target346@mailservice.net|mia.target231@corp.local,1.0,1.0,1.0,1.0,0.7415,0.0438
103.107.21.200,7,7,0,1.0,7,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,IN,2196.0,0.1913,0.7117,olivia.target54@techhub.io|ananya.target188@example.com|charlie.target204@cloudsec.org|james.target47@cloudsec.org|oscar.target236@cloudsec.org|xander.target21@cloudsec.org|alex.target81@mailservice.net,1.0,1.0,1.0,1.0,0.7117,0.0426
103.107.210.18,13,12,1,0.9231,13,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,RO,3785.0,0.2061,0.6577,marcus.target80@cloudsec.org|james.target389@mailservice.net|oscar.target126@techhub.io|ian.target344@example.com|julia.target216@mailservice.net|liam.target151@techhub.io|tarun.target332@mailservice.net|henry.target189@example.com|laura.target53@example.com|felix.target341@corp.local|victor.target219@mailservice.net|sam.target144@cloudsec.org|alex.target24@mailservice.net,0.9231,1.0,1.0,1.0,0.6577,0.0456
103.107.84.127,14,14,0,1.0,14,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,DE,4215.0,0.1993,0.6626,karen.target113@techhub.io|tarun.target210@example.com|rachel.target138@techhub.io|oscar.target303@cloudsec.org|tarun.target397@cloudsec.org|aravind.target25@example.com|claire.target292@corp.local|deepak.target357@corp.local|sam.target337@example.com|noah.target179@cloudsec.org|mia.target231@corp.local|rachel.target340@cloudsec.org|sophia.target257@cloudsec.org|mia.target378@mailservice.net,1.0,1.0,1.0,1.0,0.6626,0.0442
103.108.14.23,6,5,1,0.8333,6,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,IN,2213.0,0.1627,0.8449,kevin.target5@corp.local|ian.target171@example.com|sneha.target279@example.com|david.target395@mailservice.net|alex.target251@example.com|elena.target203@cloudsec.org,0.8333,1.0,1.0,1.0,0.8449,0.0367
103.108.170.49,14,14,0,1.0,14,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,US,3987.0,0.2107,0.6053,wendy.target256@mailservice.net|grace.target398@corp.local|peter.target186@cloudsec.org|alex.target89@mailservice.net|elena.target165@example.com|emma.target176@cloudsec.org|james.target36@example.com|grace.target228@mailservice.net|xander.target194@cloudsec.org|quinn.target158@techhub.io|grace.target56@example.com|daniel.target261@corp.local|kevin.target94@mailservice.net|victor.target394@example.com,1.0,1.0,1.0,1.0,0.6053,0.0465
103.108.229.177,13,13,0,1.0,13,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,RO,4076.0,0.1914,0.6344,hannah.target274@techhub.io|brian.target221@corp.local|frank.target259@techhub.io|kevin.target5@corp.local|marcus.target62@example.com|sam.target144@cloudsec.org|elena.target283@cloudsec.org|xander.target310@techhub.io|henry.target364@corp.local|claire.target16@corp.local|tarun.target388@cloudsec.org|alex.target89@mailservice.net|ian.target63@cloudsec.org,1.0,1.0,1.0,1.0,0.6344,0.0426
103.108.61.170,9,9,0,1.0,9,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,NG,2353.0,0.2295,0.6437,david.target379@corp.local|quinn.target239@cloudsec.org|olivia.target147@cloudsec.org|alex.target251@example.com|karen.target383@mailservice.net|alice.target211@corp.local|mia.target231@corp.local|frank.target115@corp.local|sophia.target227@corp.local,1.0,1.0,1.0,1.0,0.6437,0.0503
103.108.94.120,9,9,0,1.0,9,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,US,2828.0,0.1909,0.732,mia.target362@mailservice.net|sophia.target163@techhub.io|paula.target29@techhub.io|rachel.target271@techhub.io|elena.target233@example.com|peter.target366@example.com|grace.target228@mailservice.net|kevin.target254@cloudsec.org|alice.target317@techhub.io,1.0,1.0,1.0,1.0,0.732,0.0425
103.109.126.122,7,7,0,1.0,7,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,NG,2198.0,0.1911,0.8186,daniel.target209@mailservice.net|james.target389@mailservice.net|wendy.target139@techhub.io|thomas.target103@cloudsec.org|mia.target148@techhub.io|aravind.target41@mailservice.net|oscar.target114@example.com,1.0,1.0,1.0,1.0,0.8186,0.0425
103.109.133.196,9,7,2,0.7778,9,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,DE,2899.0,0.1863,0.7634,noah.target179@cloudsec.org|xander.target194@cloudsec.org|ananya.target48@corp.local|wendy.target139@techhub.io|robert.target23@corp.local|henry.target380@corp.local|peter.target183@corp.local|thomas.target312@example.com|mia.target324@techhub.io,0.7778,1.0,1.0,1.0,0.7634,0.0416
103.109.158.148,9,9,0,1.0,9,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,CN,3285.0,0.1644,0.7436,isabella.target201@example.com|elena.target233@example.com|isabella.target77@mailservice.net|emma.target118@mailservice.net|claire.target108@corp.local|george.target58@techhub.io|elena.target26@techhub.io|olivia.target54@techhub.io|brian.target230@techhub.io,1.0,1.0,1.0,1.0,0.7436,0.037
103.109.48.153,11,11,0,1.0,11,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,RU,3654.0,0.1806,0.8218,deepak.target318@techhub.io|alice.target86@techhub.io|aravind.target25@example.com|elena.target73@techhub.io|thomas.target290@corp.local|xander.target70@example.com|tarun.target88@mailservice.net|frank.target65@techhub.io|tarun.target71@cloudsec.org|oscar.target126@techhub.io|alex.target98@cloudsec.org,1.0,1.0,1.0,1.0,0.8218,0.0404
103.109.69.39,7,5,2,0.7143,7,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,CN,1744.0,0.2408,0.6682,sophia.target96@techhub.io|ananya.target320@techhub.io|olivia.target119@mailservice.net|felix.target238@mailservice.net|elena.target102@mailservice.net|elena.target78@corp.local|sam.target321@cloudsec.org,0.7143,1.0,1.0,1.0,0.6682,0.0525
103.109.96.35,8,8,0,1.0,8,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,VN,2845.0,0.1687,0.6399,daniel.target261@corp.local|sophia.target190@techhub.io|henry.target189@example.com|felix.target13@techhub.io|alice.target211@corp.local|liam.target151@techhub.io|grace.target398@corp.local|grace.target287@mailservice.net,1.0,1.0,1.0,1.0,0.6399,0.0379
103.11.107.251,13,13,0,1.0,13,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,CN,3788.0,0.2059,0.6217,priya.target22@example.com|claire.target127@example.com|frank.target42@corp.local|brian.target72@corp.local|oscar.target34@cloudsec.org|karen.target262@mailservice.net|george.target131@cloudsec.org|tarun.target388@cloudsec.org|felix.target399@corp.local|victor.target219@mailservice.net|nina.target49@cloudsec.org|wendy.target315@mailservice.net|george.target18@mailservice.net,1.0,1.0,1.0,1.0,0.6217,0.0455
103.11.2.46,9,9,0,1.0,9,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,US,2626.0,0.2056,0.6607,frank.target289@techhub.io|marcus.target67@cloudsec.org|ananya.target285@techhub.io|felix.target13@techhub.io|claire.target16@corp.local|brian.target304@cloudsec.org|nina.target260@mailservice.net|zach.target39@cloudsec.org|paula.target8@example.com,1.0,1.0,1.0,1.0,0.6607,0.0455
103.11.30.176,14,14,0,1.0,14,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,US,5853.0,0.1435,0.7166,marcus.target302@techhub.io|zach.target281@example.com|grace.target287@mailservice.net|sam.target346@mailservice.net|ian.target237@mailservice.net|ian.target157@cloudsec.org|rachel.target271@techhub.io|priya.target22@example.com|hannah.target9@mailservice.net|peter.target217@mailservice.net|mia.target82@example.com|charlie.target31@corp.local|claire.target292@corp.local|kevin.target40@example.com,1.0,1.0,1.0,1.0,0.7166,0.0326
103.110.106.83,7,7,0,1.0,7,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,DE,2228.0,0.1885,0.6856,hannah.target274@techhub.io|alex.target222@mailservice.net|george.target18@mailservice.net|sneha.target232@corp.local|marcus.target80@cloudsec.org|oscar.target126@techhub.io|thomas.target312@example.com,1.0,1.0,1.0,1.0,0.6856,0.042
103.110.119.198,13,13,0,1.0,13,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,ID,4566.0,0.1708,0.6742,ian.target157@cloudsec.org|peter.target183@corp.local|olivia.target147@cloudsec.org|julia.target99@techhub.io|daniel.target297@cloudsec.org|ian.target93@techhub.io|grace.target287@mailservice.net|wendy.target250@example.com|george.target154@mailservice.net|felix.target182@corp.local|sneha.target232@corp.local|elena.target307@cloudsec.org|sneha.target75@cloudsec.org,1.0,1.0,1.0,1.0,0.6742,0.0384
103.110.148.1,10,8,2,0.8,10,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,RO,3128.0,0.1918,0.7708,quinn.target215@corp.local|wendy.target256@mailservice.net|zach.target39@cloudsec.org|olivia.target267@mailservice.net|sneha.target273@cloudsec.org|peter.target291@mailservice.net|wendy.target170@cloudsec.org|karen.target37@mailservice.net|liam.target38@cloudsec.org|karen.target294@example.com,0.8,1.0,1.0,1.0,0.7708,0.0427
103.110.191.41,8,8,0,1.0,8,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,RO,2116.0,0.2268,0.672,oscar.target236@cloudsec.org|wendy.target12@mailservice.net|kevin.target40@example.com|emma.target176@cloudsec.org|xander.target194@cloudsec.org|sneha.target105@corp.local|felix.target351@corp.local|sam.target321@cloudsec.org,1.0,1.0,1.0,1.0,0.672,0.0497
103.110.46.166,13,12,1,0.9231,13,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,NG,4692.0,0.1662,0.7739,zach.target122@cloudsec.org|sneha.target273@cloudsec.org|daniel.target297@cloudsec.org|henry.target380@corp.local|alex.target81@mailservice.net|elena.target370@techhub.io|hannah.target369@corp.local|george.target156@mailservice.net|karen.target266@mailservice.net|olivia.target119@mailservice.net|victor.target352@techhub.io|tarun.target208@cloudsec.org|aravind.target51@mailservice.net,0.9231,1.0,1.0,1.0,0.7739,0.0374
103.111.227.78,6,6,0,1.0,6,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,CN,1411.0,0.2551,0.7035,george.target152@example.com|deepak.target198@cloudsec.org|ananya.target162@techhub.io|ursula.target382@example.com|rachel.target334@techhub.io|alex.target222@mailservice.net,1.0,1.0,1.0,1.0,0.7035,0.0553
103.112.122.78,11,11,0,1.0,11,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,RO,2953.0,0.2235,0.6184,kevin.target196@mailservice.net|thomas.target312@example.com|deepak.target357@corp.local|frank.target143@cloudsec.org|elena.target316@cloudsec.org|oscar.target303@cloudsec.org|liam.target100@mailservice.net|karen.target37@mailservice.net|ursula.target178@mailservice.net|quinn.target247@mailservice.net|felix.target182@corp.local,1.0,1.0,1.0,1.0,0.6184,0.0491
103.112.146.235,10,10,0,1.0,10,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,IN,2804.0,0.214,0.7074,hannah.target286@example.com|david.target379@corp.local|ananya.target285@techhub.io|daniel.target297@cloudsec.org|nina.target288@corp.local|kevin.target40@example.com|charlie.target121@techhub.io|ursula.target178@mailservice.net|tarun.target132@corp.local|elena.target27@corp.local,1.0,1.0,1.0,1.0,0.7074,0.0472
103.113.18.154,8,8,0,1.0,8,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,CN,2613.0,0.1837,0.7177,kevin.target40@example.com|liam.target276@example.com|elena.target160@corp.local|xander.target248@cloudsec.org|claire.target16@corp.local|frank.target65@techhub.io|elena.target233@example.com|emma.target265@example.com,1.0,1.0,1.0,1.0,0.7177,0.041
103.113.210.183,14,14,0,1.0,14,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,RU,5363.0,0.1566,0.7231,sneha.target273@cloudsec.org|rachel.target224@techhub.io|zach.target385@corp.local|peter.target229@cloudsec.org|james.target389@mailservice.net|sophia.target393@cloudsec.org|tarun.target332@mailservice.net|grace.target282@example.com|rachel.target138@techhub.io|sophia.target206@corp.local|grace.target228@mailservice.net|thomas.target319@example.com|george.target15@corp.local|quinn.target92@mailservice.net,1.0,1.0,1.0,1.0,0.7231,0.0354
103.113.217.33,6,6,0,1.0,6,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,CN,1420.0,0.2535,0.6923,sophia.target190@techhub.io|brian.target304@cloudsec.org|ian.target157@cloudsec.org|claire.target299@corp.local|wendy.target252@cloudsec.org|tarun.target208@cloudsec.org,1.0,1.0,1.0,1.0,0.6923,0.055
103.113.98.112,7,6,1,0.8571,7,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,UA,1910.0,0.2199,0.6906,alex.target263@cloudsec.org|henry.target364@corp.local|kevin.target5@corp.local|quinn.target50@corp.local|george.target18@mailservice.net|henry.target189@example.com|tarun.target210@example.com,0.8571,1.0,1.0,1.0,0.6906,0.0484
103.114.114.21,12,12,0,1.0,12,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,BR,4094.0,0.1759,0.7212,nina.target49@cloudsec.org|sneha.target273@cloudsec.org|brian.target117@example.com|sam.target129@corp.local|mia.target367@techhub.io|bob.target30@corp.local|liam.target225@cloudsec.org|mia.target253@cloudsec.org|peter.target183@corp.local|xander.target354@techhub.io|tarun.target71@cloudsec.org|xander.target21@cloudsec.org,1.0,1.0,1.0,1.0,0.7212,0.0394
103.115.196.163,12,11,1,0.9167,12,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,RU,4323.0,0.1666,0.6602,claire.target16@corp.local|olivia.target349@example.com|sophia.target163@techhub.io|priya.target22@example.com|oscar.target236@cloudsec.org|ananya.target359@techhub.io|noah.target280@corp.local|sophia.target227@corp.local|grace.target287@mailservice.net|hannah.target274@techhub.io|tarun.target132@corp.local|grace.target60@corp.local,0.9167,1.0,1.0,1.0,0.6602,0.0375
103.115.220.134,14,14,0,1.0,14,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,NG,3656.0,0.2298,0.6874,sam.target144@cloudsec.org|karen.target327@techhub.io|james.target350@example.com|priya.target22@example.com|peter.target391@corp.local|nina.target49@cloudsec.org|nina.target260@mailservice.net|liam.target301@cloudsec.org|elena.target44@techhub.io|ursula.target382@example.com|felix.target399@corp.local|ian.target237@mailservice.net|xander.target7@cloudsec.org|oscar.target236@cloudsec.org,1.0,1.0,1.0,1.0,0.6874,0.0503
103.115.247.106,7,6,1,0.8571,7,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,NG,2235.0,0.1879,0.6628,olivia.target54@techhub.io|grace.target282@example.com|paula.target123@cloudsec.org|thomas.target306@mailservice.net|felix.target182@corp.local|peter.target391@corp.local|paula.target136@example.com,0.8571,1.0,1.0,1.0,0.6628,0.0419
103.115.26.135,11,11,0,1.0,11,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,BR,3342.0,0.1975,0.6544,hannah.target69@techhub.io|sneha.target105@corp.local|deepak.target318@techhub.io|grace.target398@corp.local|hannah.target369@corp.local|frank.target79@mailservice.net|quinn.target215@corp.local|zach.target149@cloudsec.org|ursula.target178@mailservice.net|mia.target362@mailservice.net|sophia.target227@corp.local,1.0,1.0,1.0,1.0,0.6544,0.0438
103.115.57.191,10,9,1,0.9,10,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,VN,2726.0,0.2201,0.6875,henry.target85@cloudsec.org|laura.target387@techhub.io|olivia.target308@example.com|elena.target61@cloudsec.org|elena.target44@techhub.io|james.target389@mailservice.net|rachel.target138@techhub.io|brian.target117@example.com|liam.target234@techhub.io|grace.target90@corp.local,0.9,1.0,1.0,1.0,0.6875,0.0484
103.115.62.159,14,14,0,1.0,14,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,ID,4476.0,0.1877,0.6605,oscar.target2@mailservice.net|mia.target324@techhub.io|sam.target124@cloudsec.org|laura.target164@example.com|victor.target111@cloudsec.org|elena.target27@corp.local|wendy.target74@cloudsec.org|sneha.target279@example.com|isabella.target347@techhub.io|karen.target45@corp.local|sophia.target134@example.com|karen.target113@techhub.io|wendy.target170@cloudsec.org|felix.target197@corp.local,1.0,1.0,1.0,1.0,0.6605,0.0418
103.115.62.241,6,6,0,1.0,6,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,DE,1970.0,0.1827,0.8542,sophia.target190@techhub.io|olivia.target322@example.com|julia.target249@mailservice.net|felix.target399@corp.local|alex.target81@mailservice.net|mia.target231@corp.local,1.0,1.0,1.0,1.0,0.8542,0.0408
103.116.44.179,7,7,0,1.0,7,1.0,1,1.0,1,1.0,Chrome-120,/api/v1/auth/login,CN,2365.0,0.1776,0.6373,elena.target165@example.com|robert.target23@corp.local|liam.target345@example.com|sophia.target134@example.com|claire.target127@example.com|ananya.target48@corp.local|xander.target223@techhub.io,1.0,1.0,1.0,1.0,0.6373,0.0398
